KEPT       | en       | Ukraine    | Jamala — 1944
KEPT       | en       | Ukraine    | Boombox — Drip
KEPT       | en       | Ukraine    | Boombox — 4u
KEPT       | en       | Ukraine    | Boombox — Colors
KEPT       | en       | Ukraine    | Boombox — Fatal Attraction
KEPT       | en       | Ukraine    | Boombox — Supernatural
KEPT       | en       | Ukraine    | Boombox — Heart of Stone
KEPT       | en       | Ukraine    | Boombox — Shadow
KEPT       | en       | Ukraine    | Boombox — Guac
KEPT       | en       | Ukraine    | Boombox — Guide You (Signal)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Teresa & Maria
TRANSLATED | uk       | Ukraine    | Alyona Alyona — ПОДОЛЯНОЧКА (GET UP)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Пушка (Bomb)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Падло (Padlo)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — KUPALA
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Як би я була не я (If I wasn’t myself)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Відчиняй (Open Up)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Голови (Heads)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Dym
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Завтра (Tomorrow)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Чому? (Why?)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Тато (Dad)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Залишаю свiй дiм (Leaving my home)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Щедра ніч (Shchedra nich)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Dai Boh
TRANSLATED | es       | Ukraine    | Alyona Alyona — Pappi Pappi
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Shalom
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Рибки 3 (Fishes 3)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Рідні мої (My relatives)
TRANSLATED | uk       | Ukraine    | Alyona Alyona — Велика й смiшна (Big & Funny)
TRANSLATED | uk       | Ukraine    | Jerry Heil — Додай гучності (12 points)
TRANSLATED | bg       | Ukraine    | Jerry Heil — CATHARTICUS (prayer)
TRANSLATED | uk       | Ukraine    | Jerry Heil — ВИМОЛИВ (PRAYED FOR YOU)
TRANSLATED | uk       | Ukraine    | Jerry Heil — #ОХРАНА_ОТМЄНА (#SECURITY_CANCELLATION)
TRANSLATED | uk       | Ukraine    | Jerry Heil — З якого ти поверху неба? (Which Floor of Heaven Are You From?)
TRANSLATED | uk       | Ukraine    | Jerry Heil — Привіт. Hello
KEPT       | en       | Ukraine    | Jerry Heil — WHEN GOD SHUT THE DOOR
TRANSLATED | uk       | Ukraine    | Jerry Heil — ГУБИ У ГУБАХ (LIPS IN LIPS)
TRANSLATED | uk       | Ukraine    | Jerry Heil — СНІГ (SNOW)
TRANSLATED | uk       | Ukraine    | Jerry Heil — НА КИЛИМІ (ON THE CARPET)
KEPT       | en       | Ukraine    | Jerry Heil — Earth (Dradada)
KEPT       | en       | Ukraine    | Jerry Heil — #AllEyesOnKids
KEPT       | en       | Ukraine    | Jerry Heil — LOVE ME HARD
TRANSLATED | uk       | Ukraine    | Jerry Heil — ТУК ТУК ТУК (KNOCK KNOCK KNOCK)
TRANSLATED | uk       | Ukraine    | Jerry Heil — #ЗДН (#ZDN)
TRANSLATED | uk       | Ukraine    | Jerry Heil — #НЕБЕЙБІ (#NOTBABY)
TRANSLATED | uk       | Ukraine    | Jerry Heil — BRONIA
TRANSLATED | uk       | Ukraine    | Jerry Heil — ТРИ ПОЛОСИ (Three Stripes)
TRANSLATED | bg       | Ukraine    | Jerry Heil — CATHARTICUS (Greek Version)
TRANSLATED | uk       | Ukraine    | Jerry Heil — Сонце Монако (Sun Monaco)
KEPT       | en       | Ukraine    | Ruslana — Wild Dances
TRANSLATED | uk       | Ukraine    | Ruslana — Дикі танці (Wild Dances - Ukrainian version)
KEPT       | en       | Ukraine    | Ruslana — Dance With The Wolves
KEPT       | en       | Ukraine    | Ruslana — Heart On Fire
KEPT       | en       | Ukraine    | Ruslana — The Same Star
KEPT       | en       | Ukraine    | Ruslana — Wild Dances, Pt. 2
KEPT       | en       | Ukraine    | Ruslana — Moon Of Dreams
KEPT       | en       | Ukraine    | Ruslana — Wild Energy
TRANSLATED | uk       | Ukraine    | Ruslana — Гей, Маланка (Hey, Malanka)
KEPT       | en       | Ukraine    | Ruslana — Like a Hurricane
KEPT       | en       | Ukraine    | Ruslana — The Tango We Used To Dance
KEPT       | en       | Ukraine    | Ruslana — The Girl That Rules
TRANSLATED | uk       | Ukraine    | Ruslana — This is Euphoria
KEPT       | en       | Ukraine    | Ruslana — Wild Passion
KEPT       | en       | Ukraine    | Ruslana — I’ll Follow The Night
KEPT       | en       | Ukraine    | Ruslana — Silent Angel
KEPT       | en       | Ukraine    | Ruslana — Play, Musician
TRANSLATED | uk       | Ukraine    | Ruslana — ЗАКРУТИЛА (TURNED UP)
KEPT       | en       | Ukraine    | Ruslana — Dancing In The Sky
KEPT       | en       | Ukraine    | Ruslana — Wild Dances (Harem’s Club Mix)
TRANSLATED | uk       | Ukraine    | Skofka — Чути гімн (Hear the Anthem)
TRANSLATED | uk       | Ukraine    | Skofka — Батьківщина (Homeland)
TRANSLATED | uk       | Ukraine    | Skofka — КРУЗАК (KRUZAK)
TRANSLATED | uk       | Ukraine    | Skofka — В дорогу (The Road)
TRANSLATED | uk       | Ukraine    | Skofka — Береза стара (Old Birch)
TRANSLATED | uk       | Ukraine    | Skofka — Я там (I’m There)
TRANSLATED | uk       | Ukraine    | Skofka — НЕ БИЙ СОБАКУ! (Don’t hit the dog!)
TRANSLATED | uk       | Ukraine    | Skofka — Не забудем i не пробачим (We will not forget and we will not forgive)
TRANSLATED | uk       | Ukraine    | Skofka — Ой на ой (oh oh oh)
TRANSLATED | uk       | Ukraine    | Skofka — ЗАГЛОХ (STALLED)
TRANSLATED | uk       | Ukraine    | Skofka — По барабану (Po barabanu)
TRANSLATED | uk       | Ukraine    | Skofka — Мир на землі (Peace on earth)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Тримай (Trimai)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Стежечка (Path)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Fortepiano
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Хто, як не ти? (Who If Not You?)
KEPT       | en       | Ukraine    | Khrystyna Soloviy — Forest song (Original Soundtrack «Mavka. The Forest Song)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Несе Галя воду (Halia Is Carrying Water)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Галіція (Galicia)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Українська лють (Bella Ciao Cover) (Ukrainian rage)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Любий друг (Dear Friend)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Камертон (Tuning Fork)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Под облачком (By The Window)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Тече вода каламутна (Muddy Water Flows)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Гамерицкий край (American Land)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Кучерики (Curls)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Маланка (Malanka)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Синя пісня (Blue Song)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Губи в вині (Lips in the Wine)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Народився Бог на санях (God Was Born On A Sleigh)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Краще мовчи (Better keep silent)
TRANSLATED | uk       | Ukraine    | Khrystyna Soloviy — Чорноморчик (Chornomorchyk)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Мы за ценой не постоим (Price is nothing for us)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Ваше благородие, госпожа удача (Your Honor, Lady Luck)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Давайте восклицать (Let’s Exclaim)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Грузинская песня (Georgian song)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Бери шинель, пошли домой (Take your coat, let’s go home)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Молитва Франсуа Вийона (Francois Villon’s prayer)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Старинная солдатская песня (Old soldier song)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Пиратская лирическая (Когда воротимся мы в Портленд) (Pirate Lyrical (When We Return to Portland))
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Песня красноармейца (Song of the red army soldier)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Песенка, короткая, как жизнь сама (Song That Short As Life)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Шла война к тому Берлину (There was a war to that Berlin)
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Тьмою здесь всё занавешено...
TRANSLATED | ru       | Russia     | Bulat Okudzhava — Примета (Omen)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Песня о друге (Song About Friend)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Поговори хоть ты со мной (Talk to Me)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Кони привередливые (Fastidious Horses)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Я Не Люблю (I Do Not Like)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Баллада о детстве (Ballad of Childhood)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Охота на волков (Hunting Wolves)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Вершина (Peak)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Товарищ Сталин, вы большой учёный (TSVBU)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Девушка из Нагасаки (Girl From Nagasaki)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Дом хрустальный (Crystal House)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Он не вернулся из боя (He Didn’t Return From the Battle)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Ноль семь (Zero seven)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Баллада о борьбе (Ballad About Struggle)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Песенка о переселении душ (Song about soul migration).
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Лекция о международном положении (LATIS)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Утренняя гимнастика (Morning Exercises)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Солдаты группы «Центр» (Army Group Centre soldiers)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Одна научная загадка, или почему аборигены съели Кука. (One scientific mystery or why did the aborigines eat Cook.)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Парус (Sail)
TRANSLATED | ru       | Russia     | Vladimir Vysotsky — Кривая да Нелёгкая (Curve and Not-easy)
TRANSLATED | ru       | Russia     | Zemfira — Dokazano (Доказано)
TRANSLATED | ru       | Russia     | Oxxxymiron — Город под подошвой (City Under the Sole)
TRANSLATED | ru       | Russia     | Oxxxymiron — «Где нас нет» (”On the Other Side”)
TRANSLATED | ru       | Russia     | Oxxxymiron — THE STORY OF ALISHER
TRANSLATED | ru       | Russia     | Oxxxymiron — КТО УБИЛ МАРКА? (WHO KILLED MARK?)
TRANSLATED | ru       | Russia     | Oxxxymiron — Переплетено (Interlaced)
TRANSLATED | ru       | Russia     | Oxxxymiron — До зимы (Until Winter)
TRANSLATED | ru       | Russia     | Oxxxymiron — Хоп-механика (Hop Mechanics)
TRANSLATED | ru       | Russia     | Oxxxymiron — ОЙДА (OIDA)
TRANSLATED | ru       | Russia     | Oxxxymiron — В книге всё было по-другому (4 раунд 17ib) (The Book Had It Different)
TRANSLATED | ru       | Russia     | Oxxxymiron — Красота и Уродство (Beauty & Ugliness)
TRANSLATED | ru       | Russia     | Oxxxymiron — Неваляшка (Tumbler Toy)
TRANSLATED | ru       | Russia     | Oxxxymiron — Тентакли (Tentacles)
TRANSLATED | ru       | Russia     | Oxxxymiron — Башня из слоновой кости (Ivory Tower)
TRANSLATED | ru       | Russia     | Oxxxymiron — ОРГАНИЗАЦИЯ (ORGANIZATION)
TRANSLATED | ru       | Russia     | Oxxxymiron — Нон-фикшн (Non-Fiction)
TRANSLATED | ru       | Russia     | Oxxxymiron — Грязь (Dirt)
TRANSLATED | ru       | Russia     | Oxxxymiron — Песенка Гремлина (Gremlin’s Song)
TRANSLATED | ru       | Russia     | Oxxxymiron — Восточный Мордор (East Mordor)
TRANSLATED | ru       | Russia     | Oxxxymiron — Агент (Agent)
TRANSLATED | ru       | Russia     | Oxxxymiron — Девочка Пиздец (Fucked Up Girl)
TRANSLATED | ru       | Russia     | Noize MC — Вселенная бесконечна? (Is the Universe Infinite?)
TRANSLATED | ru       | Russia     | Noize MC — Всё как у людей (Everything is Like People’s)
TRANSLATED | ru       | Russia     | Noize MC — Выдыхай (Exhale)
TRANSLATED | ru       | Russia     | Noize MC — Моё море (My Sea)
TRANSLATED | ru       | Russia     | Noize MC — Иордан (Jordan)
TRANSLATED | ru       | Russia     | Noize MC — Грабли (Rake)
TRANSLATED | ru       | Russia     | Noize MC — Чайлдфри (Childfree)
TRANSLATED | ru       | Russia     | Noize MC — В темноте (In Darkness)
TRANSLATED | ru       | Russia     | Noize MC — Вояджер-1 (Voyager 1)
TRANSLATED | ru       | Russia     | Noize MC — Из окна (From the window)
TRANSLATED | ru       | Russia     | Noize MC — Светлая полоса (Light Stripe)
TRANSLATED | ru       | Russia     | Noize MC — Yes Future!
TRANSLATED | ru       | Russia     | Noize MC — Любимый цвет (Favourite color)
TRANSLATED | ru       | Russia     | Noize MC — Детка, послушай (Babe, Listen)
TRANSLATED | ru       | Russia     | Noize MC — На Марсе классно (It’s Cool on Mars)
TRANSLATED | ru       | Russia     | Noize MC — В темноте (Brodsky Version) (In Darkness)
TRANSLATED | ru       | Russia     | Noize MC — Ты не считаешь (You Don’t Count)
TRANSLATED | ru       | Russia     | Noize MC — Страна дождей (Country Of Rain)
TRANSLATED | ru       | Russia     | Noize MC — Устрой дестрой (Make Destroy)
TRANSLATED | ru       | Russia     | Noize MC — Жвачка (Chewing Gum)
KEPT       | en       | Russia     | Pussy Riot — Punk Prayer (English Translation)
KEPT       | en       | Russia     | Pussy Riot — Make America Great Again
KEPT       | en       | Russia     | Pussy Riot — Bad Girls
KEPT       | en       | Russia     | Pussy Riot — Straight Outta Vagina
KEPT       | en       | Russia     | Pussy Riot — HATEFUCK
KEPT       | en       | Russia     | Pussy Riot — Police State
TRANSLATED | ru       | Russia     | Pussy Riot — SEXIST
KEPT       | en       | Russia     | Pussy Riot — 1312
TRANSLATED | ru       | Russia     | Pussy Riot — CHAIKA (Чайка)
TRANSLATED | ru       | Russia     | Pussy Riot — Organs (органы)
KEPT       | en       | Russia     | Pussy Riot — I Can’t Breathe
KEPT       | en       | Russia     | Pussy Riot — PANIC ATTACK
KEPT       | en       | Russia     | Pussy Riot — Bad Apples
TRANSLATED | ru       | Russia     | Pussy Riot — RAGE
TRANSLATED | ru       | Russia     | Pussy Riot — 1937
KEPT       | en       | Russia     | Pussy Riot — RIOT
TRANSLATED | ru       | Russia     | Pussy Riot — ЧЁРНЫЕ СНЕЖКИ (BLACK SNOW)
TRANSLATED | ru       | Russia     | Pussy Riot — Путин научит тебя любить Родину (Putin will teach you how to love Motherland)
TRANSLATED | ru       | Russia     | Pussy Riot — Track About Good Cop
KEPT       | en       | Russia     | Pussy Riot — TOXIC
KEPT       | en       | Russia     | DDT — Hey Steve
KEPT       | en       | Russia     | DDT — Walkabout
KEPT       | en       | Russia     | DDT — McDDT
KEPT       | en       | Russia     | DDT — Blue Hair Crime
KEPT       | en       | Russia     | DDT — Can’t Take My Eyes Off You
KEPT       | en       | Russia     | DDT — Pistol Whip
KEPT       | en       | Russia     | DDT — Lie Detector
KEPT       | en       | Russia     | DDT — Unsaid
KEPT       | en       | Russia     | DDT — Chlorine
KEPT       | en       | Russia     | DDT — Styrofoam
KEPT       | en       | Russia     | DDT — Overripe
KEPT       | en       | Russia     | DDT — Liquid
KEPT       | en       | Russia     | DDT — Boring
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Дрон (Drone)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Волки в тире (Wolves in the Range)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Родина, вернись домой (Motherland, Come Home)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Капитан Колесников (Captain Kolesnikov)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Чайковский (Tchaikovsky)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Я завтра брошу пить (I’ll quit drinking tomorrow)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Новая жизнь (New Life)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Похороны войны (Funeral of the War)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Пчела (Bee)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Танцы (Dance)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Надежда (Hope)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Доктор Лиза (Doctor Liza)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Антонина (песня из к/ф «Антонина обернулась») [A (sftf ”Ata”)]
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Потоп (Flood)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Прекрасная любовь (Beautiful Love)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Галя Ходи (Galya Go)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Прогулки по воде (Walk on the water)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Новогодняя (New Year Song)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Расстреляли рассветами (Live, 2022) (Shot by dawns)
TRANSLATED | ru       | Russia     | Yuri Shevchuk — Париж (Paris)
TRANSLATED | he       | Israel     | David Broza — Mitachat Lashamayim - מתחת לשמיים
TRANSLATED | he       | Israel     | David Broza — Yihiye Tov - יהיה טוב
TRANSLATED | he       | Israel     | David Broza — Betsohorey Hayom - בצהרי היום
TRANSLATED | he       | Israel     | David Broza — Sigaliot - סיגליות
TRANSLATED | he       | Israel     | David Broza — Ha’isha She’iti - האישה שאיתי
TRANSLATED | he       | Israel     | David Broza — Belibech - בלבך
TRANSLATED | he       | Israel     | David Broza — Shir Ahava Bedui - שיר אהבה בדואי
TRANSLATED | es       | Israel     | David Broza — Ramito de Violetas
TRANSLATED | he       | Israel     | David Broza — Noladet Bishvili - נולדת בשבילי
TRANSLATED | es       | Israel     | David Broza — Raquel
TRANSLATED | he       | Israel     | David Broza — Elohim Letzidenu - אלוהים לצידנו
KEPT       | en       | Israel     | David Broza — Untitled
KEPT       | en       | Israel     | David Broza — Night Dawn (Silver Dollar)
TRANSLATED | he       | Israel     | David Broza — Al Tishali Eem Ani Ohev - אל תשאלי אם אני אוהב
TRANSLATED | es       | Israel     | David Broza — La Mujer Que Yo Quiero
TRANSLATED | es       | Israel     | David Broza — Dentro de Tu Alma
TRANSLATED | he       | Israel     | David Broza — Srochim - שרוכים
TRANSLATED | he       | Israel     | David Broza — Daniela - דניאלה
TRANSLATED | he       | Israel     | David Broza — Susim Yafim - סוסים יפים
TRANSLATED | he       | Israel     | David Broza — Señorita - סניוריטה
TRANSLATED | he       | Israel     | Yehuda Poliker — Halon Layam Hatichon - חלון לים התיכון
TRANSLATED | he       | Israel     | Yehuda Poliker — Perach - פרח
TRANSLATED | he       | Israel     | Yehuda Poliker — Dvarim She’ratziti Lomar - דברים שרציתי לומר
TRANSLATED | he       | Israel     | Yehuda Poliker — Panim Mul Panim - פנים אל מול פנים
TRANSLATED | he       | Israel     | Yehuda Poliker — Kashe Biladayich - קשה בלעדייך
TRANSLATED | he       | Israel     | Yehuda Poliker — Boker Yom Rishon - בוקר יום ראשון
TRANSLATED | he       | Israel     | Yehuda Poliker — Efer Ve’avak - אפר ואבק
TRANSLATED | he       | Israel     | Yehuda Poliker — Romeo - רומיאו
TRANSLATED | he       | Israel     | Yehuda Poliker — Hatzel Ve’ani - הצל ואני
TRANSLATED | he       | Israel     | Yehuda Poliker — Katzar Poh Kol Kach Haviv - קצר פה כל כך האביב
TRANSLATED | he       | Israel     | Yehuda Poliker — Kshetigdal - כשתגדל
TRANSLATED | he       | Israel     | Yehuda Poliker — Einaim Sheli - עיניים שלי
TRANSLATED | he       | Israel     | Yehuda Poliker — Pahot Aval Ko’ev - פחות אבל כואב
TRANSLATED | he       | Israel     | Yehuda Poliker — Yoram - יורם
TRANSLATED | he       | Israel     | Yehuda Poliker — Hatchala Chadasha - התחלה חדשה
KEPT       | he       | Israel     | Yehuda Poliker — Meuchar Ulay Mukdam - מאוחר אולי מוקדם
TRANSLATED | he       | Israel     | Yehuda Poliker — Cain - קין
TRANSLATED | he       | Israel     | Yehuda Poliker — Ech Korim La’ahava Sheli - איך קוראים לאהבה שלי
TRANSLATED | he       | Israel     | Yehuda Poliker — Zinguala - זינגואלה
TRANSLATED | he       | Israel     | Subliminal — Torro - טורו
TRANSLATED | he       | Israel     | Subliminal — Ba’a Li Tov - באה לי טוב
TRANSLATED | he       | Israel     | Subliminal — Chalom Shel Kol Gever - חלום של כל גבר
KEPT       | en       | Israel     | Subliminal — Peace In The Middle East
TRANSLATED | he       | Israel     | Subliminal — Bat 60 - בת 60
TRANSLATED | he       | Israel     | Subliminal — Ha’adrichalim - האדריכלים
TRANSLATED | he       | Israel     | Subliminal — Hai Meyom Leyom - חי מיום ליום
TRANSLATED | he       | Israel     | Subliminal — TACT Allstars - תאקט אולסטארז
TRANSLATED | he       | Israel     | Subliminal — Prachim Baka’ne - פרחים בקנה
TRANSLATED | he       | Israel     | Subliminal — Tizaher Mimena - תיזהר ממנה
TRANSLATED | he       | Israel     | Subliminal — Yoter Meze Anachnu Lo Tzrichim - יותר מזה אנחנו לא צריכים
