artist,country,song_title,year,original_lang,translated,compound,positive,negative,neutral,period
Okean Elzy,Ukraine,Як ніколи (Like Never Before),2024,uk,True,-0.9771,0.155,0.203,0.641,post
Okean Elzy,Ukraine,"Там, де нас нема (Where We Are Not)",1998,uk,True,0.5411,0.028,0.009,0.963,pre
Okean Elzy,Ukraine,Мукачево (Mukachevo),2024,uk,True,-0.9186,0.028,0.077,0.895,post
Okean Elzy,Ukraine,Кавачай (Coffeetea),2000,ru,True,-0.9567,0.052,0.112,0.836,pre
Okean Elzy,Ukraine,2000 миль (Miles),2024,uk,True,-0.5466,0.031,0.045,0.924,post
Okean Elzy,Ukraine,Коли тебе нема (When you are absent),2000,uk,True,-0.911,0.0,0.096,0.904,pre
Okean Elzy,Ukraine,Без тебе (Without you),2018,uk,True,-0.5627,0.053,0.083,0.864,pre
Okean Elzy,Ukraine,Стріляй (Shoot),2013,uk,True,0.5586,0.084,0.094,0.822,pre
Okean Elzy,Ukraine,Місто весни (Spring Town),2021,uk,True,0.9499,0.104,0.053,0.843,pre
Okean Elzy,Ukraine,Не питай (Don’t Ask),2005,uk,True,0.9235,0.123,0.0,0.877,pre
Okean Elzy,Ukraine,Квітка (Flower),2001,uk,True,0.9168,0.131,0.042,0.826,pre
Okean Elzy,Ukraine,Rendez-Vous,2013,uk,True,0.3612,0.019,0.009,0.972,pre
Okean Elzy,Ukraine,Коли ми двоє (When we are together),2023,uk,True,0.2014,0.044,0.035,0.921,post
Okean Elzy,Ukraine,Квіти мінних зон (Flowers of minefields),2022,uk,True,-0.9879,0.012,0.197,0.79,post
Okean Elzy,Ukraine,Відпусти (Let me go),2000,uk,True,0.658,0.048,0.029,0.923,pre
Antytila,Ukraine,TDME,2017,uk,True,0.9822,0.128,0.016,0.855,pre
Antytila,Ukraine,Фортеця Бахмут (Bakhmut Fortress),2023,uk,True,-0.9514,0.154,0.201,0.644,post
Antytila,Ukraine,Лови момент (Catch the moment),2018,uk,True,0.8835,0.078,0.033,0.889,pre
Antytila,Ukraine,ВДОМА (AT HOME),2024,uk,True,0.9629,0.131,0.06,0.809,post
Antytila,Ukraine,Люди як кораблі (People Are Like Boats),2016,uk,True,0.25,0.085,0.072,0.844,pre
Antytila,Ukraine,Бери своє (Take what’s yours),2008,uk,True,0.9646,0.125,0.072,0.803,pre
Antytila,Ukraine,Молоком (With Milk),2015,uk,True,0.7597,0.123,0.093,0.784,pre
Antytila,Ukraine,ДИВИСЬ У МІЙ ЕКРАН (Look Into My Screen),2025,uk,True,0.9715,0.129,0.083,0.788,post
Antytila,Ukraine,HELLO,2019,uk,True,0.9491,0.133,0.046,0.821,pre
Antytila,Ukraine,Ти саме та (You are the one),2024,uk,True,0.9822,0.146,0.058,0.795,post
Antytila,Ukraine,Вірила (Believed),2019,uk,True,0.9956,0.171,0.016,0.813,pre
Antytila,Ukraine,Кіно (Cinema),2020,uk,True,0.7527,0.05,0.013,0.936,pre
Antytila,Ukraine,Lego,2018,uk,True,-0.7689,0.084,0.143,0.773,pre
Antytila,Ukraine,Одинак (Loner),2016,uk,True,-0.9787,0.062,0.17,0.769,pre
Antytila,Ukraine,Все красиво (All is pretty),2015,uk,True,0.9985,0.262,0.027,0.712,pre
Antytila,Ukraine,Маскарад (Masquerade),2021,uk,True,0.8655,0.081,0.054,0.866,pre
Antytila,Ukraine,Ів Кусто (Yves Cousteau),2011,uk,True,0.9876,0.168,0.065,0.767,pre
Antytila,Ukraine,Будувуду (Buduvudou),2008,uk,True,0.9983,0.239,0.026,0.735,pre
Antytila,Ukraine,Поламані (Broken),2024,uk,True,-0.9836,0.121,0.223,0.655,post
Antytila,Ukraine,Рожеві діви (Pink girls),2011,uk,True,0.7641,0.06,0.028,0.912,pre
Boombox,Ukraine,Moon Love,2018,en,False,0.9874,0.164,0.063,0.773,pre
Boombox,Ukraine,Whisper,2018,en,False,-0.946,0.077,0.161,0.762,pre
Boombox,Ukraine,People I Know,2018,en,False,0.5118,0.063,0.042,0.895,pre
Boombox,Ukraine,Alamo,2017,en,False,-0.3695,0.0,0.046,0.954,pre
Boombox,Ukraine,Reaper,2021,en,False,-0.998,0.078,0.255,0.667,pre
Boombox,Ukraine,Dem Fraid,2017,en,False,0.8299,0.097,0.038,0.865,pre
Boombox,Ukraine,NEW WIP,2019,en,False,0.907,0.116,0.065,0.819,pre
Boombox,Ukraine,B2U,2015,en,False,0.0,0.0,0.0,1.0,pre
Boombox,Ukraine,All I Want,2019,en,False,0.9948,0.19,0.057,0.752,pre
Boombox,Ukraine,Drip,2019,en,False,0.5106,0.03,0.017,0.954,pre
Boombox,Ukraine,4u,2019,en,False,0.9336,0.112,0.058,0.83,pre
Boombox,Ukraine,Colors,2016,en,False,0.9052,0.141,0.048,0.811,pre
Boombox,Ukraine,Fatal Attraction,2021,en,False,-0.999,0.116,0.313,0.571,pre
Boombox,Ukraine,Supernatural,2016,en,False,0.7757,0.1,0.038,0.861,pre
Boombox,Ukraine,Heart of Stone,2022,en,False,0.9983,0.246,0.062,0.692,post
Boombox,Ukraine,Shadow,2021,en,False,-0.1116,0.15,0.142,0.708,pre
Boombox,Ukraine,Guac,2024,en,False,-0.9223,0.036,0.083,0.881,post
Boombox,Ukraine,Guide You (Signal),2024,en,False,0.9847,0.171,0.052,0.777,post
Alyona Alyona,Ukraine,Teresa & Maria,2024,uk,True,0.8137,0.094,0.084,0.822,post
Alyona Alyona,Ukraine,ПОДОЛЯНОЧКА (GET UP),2024,uk,True,0.8295,0.066,0.044,0.89,post
Alyona Alyona,Ukraine,Пушка (Bomb),2019,uk,True,-0.8651,0.055,0.081,0.863,pre
Alyona Alyona,Ukraine,Падло (Padlo),2019,uk,True,-0.8165,0.056,0.064,0.88,pre
Alyona Alyona,Ukraine,KUPALA,2022,uk,True,0.9852,0.092,0.019,0.889,post
Alyona Alyona,Ukraine,Як би я була не я (If I wasn’t myself),2019,uk,True,0.9949,0.107,0.041,0.852,pre
Alyona Alyona,Ukraine,Відчиняй (Open Up),2018,uk,True,0.9269,0.05,0.031,0.919,pre
Alyona Alyona,Ukraine,Голови (Heads),2018,uk,True,-0.9727,0.037,0.1,0.863,pre
Alyona Alyona,Ukraine,Dym,2021,uk,True,-0.9982,0.106,0.291,0.603,pre
Alyona Alyona,Ukraine,Завтра (Tomorrow),2019,uk,True,-0.0711,0.049,0.048,0.903,pre
Alyona Alyona,Ukraine,Чому? (Why?),2022,uk,True,0.9922,0.17,0.067,0.763,post
Alyona Alyona,Ukraine,Тато (Dad),2024,uk,True,0.9984,0.246,0.049,0.705,post
Alyona Alyona,Ukraine,Залишаю свiй дiм (Leaving my home),2018,uk,True,0.9901,0.123,0.08,0.797,pre
Alyona Alyona,Ukraine,Щедра ніч (Shchedra nich),2023,uk,True,0.9984,0.242,0.021,0.736,post
Alyona Alyona,Ukraine,Dai Boh,2022,uk,True,0.9307,0.123,0.071,0.806,post
Alyona Alyona,Ukraine,Pappi Pappi,2021,es,True,0.8177,0.092,0.1,0.808,pre
Alyona Alyona,Ukraine,Shalom,2021,uk,True,0.2175,0.089,0.082,0.829,pre
Alyona Alyona,Ukraine,Рибки 3 (Fishes 3),2019,uk,True,0.9822,0.128,0.051,0.822,pre
Alyona Alyona,Ukraine,Рідні мої (My relatives),2022,uk,True,0.9909,0.146,0.039,0.816,post
Alyona Alyona,Ukraine,Велика й смiшна (Big & Funny),2019,uk,True,0.9963,0.164,0.025,0.811,pre
Jerry Heil,Ukraine,Додай гучності (12 points),2025,uk,True,0.9591,0.135,0.06,0.805,post
Jerry Heil,Ukraine,CATHARTICUS (prayer),2026,bg,True,0.9839,0.203,0.044,0.753,post
Jerry Heil,Ukraine,ВИМОЛИВ (PRAYED FOR YOU),2025,uk,True,0.9911,0.198,0.072,0.73,post
Jerry Heil,Ukraine,#ОХРАНА_ОТМЄНА (#SECURITY_CANCELLATION),2019,uk,True,0.9209,0.069,0.031,0.9,pre
Jerry Heil,Ukraine,З якого ти поверху неба? (Which Floor of Heaven Are You From?),2025,uk,True,0.9302,0.062,0.021,0.917,post
Jerry Heil,Ukraine,Привіт. Hello,2026,uk,True,0.8617,0.077,0.06,0.863,post
Jerry Heil,Ukraine,WHEN GOD SHUT THE DOOR,2022,en,False,0.9864,0.191,0.054,0.755,post
Jerry Heil,Ukraine,ГУБИ У ГУБАХ (LIPS IN LIPS),2024,uk,True,0.9071,0.074,0.043,0.882,post
Jerry Heil,Ukraine,СНІГ (SNOW),2024,uk,True,0.8824,0.128,0.111,0.76,post
Jerry Heil,Ukraine,НА КИЛИМІ (ON THE CARPET),2025,uk,True,0.9145,0.08,0.039,0.88,post
Jerry Heil,Ukraine,Earth (Dradada),2025,en,False,0.8669,0.101,0.079,0.82,post
Jerry Heil,Ukraine,#AllEyesOnKids,2024,en,False,0.8062,0.036,0.012,0.952,post
Jerry Heil,Ukraine,LOVE ME HARD,2025,en,False,-0.926,0.167,0.23,0.603,post
Jerry Heil,Ukraine,ТУК ТУК ТУК (KNOCK KNOCK KNOCK),2021,uk,True,0.9982,0.241,0.036,0.723,pre
Jerry Heil,Ukraine,#ЗДН (#ZDN),2021,uk,True,0.9952,0.229,0.028,0.743,pre
Jerry Heil,Ukraine,#НЕБЕЙБІ (#NOTBABY),2020,uk,True,0.1818,0.082,0.077,0.842,pre
Jerry Heil,Ukraine,BRONIA,2023,uk,True,-0.7555,0.077,0.095,0.828,post
Jerry Heil,Ukraine,ТРИ ПОЛОСИ (Three Stripes),2023,uk,True,0.4207,0.075,0.069,0.856,post
Jerry Heil,Ukraine,CATHARTICUS (Greek Version),2026,bg,True,0.9789,0.165,0.042,0.793,post
Jerry Heil,Ukraine,Сонце Монако (Sun Monaco),2022,uk,True,-0.3736,0.0,0.087,0.913,post
Ruslana,Ukraine,Wild Dances,2004,en,False,0.9835,0.157,0.011,0.832,pre
Ruslana,Ukraine,Дикі танці (Wild Dances - Ukrainian version),2004,uk,True,0.848,0.09,0.031,0.879,pre
Ruslana,Ukraine,Dance With The Wolves,,en,False,0.9422,0.082,0.061,0.857,post
Ruslana,Ukraine,Heart On Fire,,en,False,0.9765,0.178,0.14,0.682,post
Ruslana,Ukraine,The Same Star,2004,en,False,0.9759,0.093,0.0,0.907,pre
Ruslana,Ukraine,"Wild Dances, Pt. 2",,en,False,0.8902,0.063,0.017,0.92,post
Ruslana,Ukraine,Moon Of Dreams,,en,False,0.993,0.193,0.093,0.714,post
Ruslana,Ukraine,Wild Energy,,en,False,0.9887,0.213,0.018,0.77,post
Ruslana,Ukraine,"Гей, Маланка (Hey, Malanka)",2025,uk,True,-0.926,0.01,0.066,0.924,post
Ruslana,Ukraine,Like a Hurricane,,en,False,0.9182,0.091,0.01,0.899,post
Ruslana,Ukraine,The Tango We Used To Dance,,en,False,0.9214,0.115,0.035,0.85,post
Ruslana,Ukraine,The Girl That Rules,,en,False,0.9974,0.147,0.017,0.837,post
Ruslana,Ukraine,This is Euphoria,2012,uk,True,0.9919,0.225,0.02,0.755,pre
Ruslana,Ukraine,Wild Passion,,en,False,0.6834,0.144,0.097,0.759,post
Ruslana,Ukraine,I’ll Follow The Night,,en,False,0.9366,0.111,0.022,0.868,post
Ruslana,Ukraine,Silent Angel,,en,False,0.663,0.161,0.104,0.735,post
Ruslana,Ukraine,"Play, Musician",,en,False,0.8734,0.148,0.102,0.75,post
Ruslana,Ukraine,ЗАКРУТИЛА (TURNED UP),2025,uk,True,0.6757,0.177,0.139,0.684,post
Ruslana,Ukraine,Dancing In The Sky,,en,False,0.9241,0.142,0.091,0.767,post
Ruslana,Ukraine,Wild Dances (Harem’s Club Mix),,en,False,0.9269,0.132,0.017,0.851,post
Skofka,Ukraine,Чути гімн (Hear the Anthem),2022,uk,True,0.946,0.106,0.057,0.837,post
Skofka,Ukraine,Батьківщина (Homeland),2022,uk,True,-0.8656,0.078,0.113,0.809,post
Skofka,Ukraine,КРУЗАК (KRUZAK),2021,uk,True,0.9701,0.08,0.029,0.89,pre
Skofka,Ukraine,В дорогу (The Road),2022,uk,True,0.8504,0.072,0.049,0.879,post
Skofka,Ukraine,Береза стара (Old Birch),2021,uk,True,-0.9345,0.074,0.123,0.804,pre
Skofka,Ukraine,Я там (I’m There),2024,uk,True,0.9893,0.116,0.061,0.822,post
Skofka,Ukraine,НЕ БИЙ СОБАКУ! (Don’t hit the dog!),2021,uk,True,0.998,0.256,0.036,0.708,pre
Skofka,Ukraine,Не забудем i не пробачим (We will not forget and we will not forgive),2022,uk,True,-0.995,0.12,0.221,0.659,post
Skofka,Ukraine,Ой на ой (oh oh oh),2022,uk,True,-0.9675,0.08,0.142,0.778,post
Skofka,Ukraine,ЗАГЛОХ (STALLED),2023,uk,True,-0.8863,0.01,0.069,0.921,post
Skofka,Ukraine,По барабану (Po barabanu),2021,uk,True,0.9642,0.085,0.03,0.885,pre
Skofka,Ukraine,Мир на землі (Peace on earth),2023,uk,True,0.9981,0.277,0.016,0.706,post
Khrystyna Soloviy,Ukraine,Тримай (Trimai),2015,uk,True,-0.866,0.145,0.19,0.665,pre
Khrystyna Soloviy,Ukraine,Стежечка (Path),2018,uk,True,0.9957,0.28,0.009,0.711,pre
Khrystyna Soloviy,Ukraine,Fortepiano,2017,uk,True,0.9682,0.186,0.108,0.706,pre
Khrystyna Soloviy,Ukraine,"Хто, як не ти? (Who If Not You?)",2016,uk,True,0.9845,0.133,0.028,0.839,pre
Khrystyna Soloviy,Ukraine,Forest song (Original Soundtrack «Mavka. The Forest Song),2023,en,False,0.9994,0.379,0.0,0.621,post
Khrystyna Soloviy,Ukraine,Несе Галя воду (Halia Is Carrying Water),2024,uk,True,0.9389,0.126,0.041,0.833,post
Khrystyna Soloviy,Ukraine,Галіція (Galicia),2025,uk,True,0.9303,0.186,0.147,0.668,post
Khrystyna Soloviy,Ukraine,Українська лють (Bella Ciao Cover) (Ukrainian rage),2023,uk,True,-0.3612,0.102,0.135,0.762,post
Khrystyna Soloviy,Ukraine,Любий друг (Dear Friend),2018,uk,True,0.9824,0.141,0.029,0.83,pre
Khrystyna Soloviy,Ukraine,Камертон (Tuning Fork),2024,uk,True,0.2243,0.076,0.083,0.84,post
Khrystyna Soloviy,Ukraine,Под облачком (By The Window),2015,uk,True,0.993,0.192,0.072,0.736,pre
Khrystyna Soloviy,Ukraine,Тече вода каламутна (Muddy Water Flows),2015,uk,True,0.8258,0.165,0.129,0.705,pre
Khrystyna Soloviy,Ukraine,Гамерицкий край (American Land),2015,uk,True,-0.9628,0.038,0.173,0.789,pre
Khrystyna Soloviy,Ukraine,Кучерики (Curls),2024,uk,True,0.9551,0.117,0.037,0.845,post
Khrystyna Soloviy,Ukraine,Маланка (Malanka),2023,uk,True,0.7579,0.11,0.053,0.838,post
Khrystyna Soloviy,Ukraine,Синя пісня (Blue Song),2015,uk,True,0.4323,0.105,0.089,0.806,pre
Khrystyna Soloviy,Ukraine,Губи в вині (Lips in the Wine),2021,uk,True,0.9585,0.205,0.141,0.655,pre
Khrystyna Soloviy,Ukraine,Народився Бог на санях (God Was Born On A Sleigh),2023,uk,True,0.9442,0.147,0.02,0.833,post
Khrystyna Soloviy,Ukraine,Краще мовчи (Better keep silent),2021,uk,True,0.991,0.184,0.018,0.798,pre
Khrystyna Soloviy,Ukraine,Чорноморчик (Chornomorchyk),2023,uk,True,0.9669,0.141,0.029,0.83,post
Bulat Okudzhava,Russia,Мы за ценой не постоим (Price is nothing for us),1967,ru,True,-0.9887,0.019,0.144,0.837,pre
Bulat Okudzhava,Russia,"Ваше благородие, госпожа удача (Your Honor, Lady Luck)",1969,ru,True,0.9963,0.389,0.12,0.491,pre
Bulat Okudzhava,Russia,Давайте восклицать (Let’s Exclaim),1984,ru,True,0.8312,0.189,0.149,0.663,pre
Bulat Okudzhava,Russia,Грузинская песня (Georgian song),1967,ru,True,0.9664,0.158,0.049,0.792,pre
Bulat Okudzhava,Russia,"Бери шинель, пошли домой (Take your coat, let’s go home)",1975,ru,True,-0.9836,0.01,0.125,0.865,pre
Bulat Okudzhava,Russia,Молитва Франсуа Вийона (Francois Villon’s prayer),1964,ru,True,0.9413,0.144,0.057,0.799,pre
Bulat Okudzhava,Russia,Старинная солдатская песня (Old soldier song),1973,ru,True,0.9536,0.157,0.099,0.745,pre
Bulat Okudzhava,Russia,Пиратская лирическая (Когда воротимся мы в Портленд) (Pirate Lyrical (When We Return to Portland)),1983,ru,True,0.9247,0.148,0.104,0.749,pre
Bulat Okudzhava,Russia,Песня красноармейца (Song of the red army soldier),1973,ru,True,-0.9034,0.076,0.173,0.751,pre
Bulat Okudzhava,Russia,"Песенка, короткая, как жизнь сама (Song That Short As Life)",1983,ru,True,0.9828,0.196,0.012,0.792,pre
Bulat Okudzhava,Russia,Шла война к тому Берлину (There was a war to that Berlin),1983,ru,True,0.4504,0.12,0.084,0.796,pre
Bulat Okudzhava,Russia,Тьмою здесь всё занавешено...,1980,ru,True,0.8708,0.112,0.029,0.86,pre
Bulat Okudzhava,Russia,Примета (Omen),,ru,True,-0.9689,0.063,0.172,0.764,post
Vladimir Vysotsky,Russia,Песня о друге (Song About Friend),1980,ru,True,0.9494,0.188,0.102,0.71,pre
Vladimir Vysotsky,Russia,Поговори хоть ты со мной (Talk to Me),1994,ru,True,0.9892,0.172,0.028,0.8,pre
Vladimir Vysotsky,Russia,Кони привередливые (Fastidious Horses),,ru,True,-0.4801,0.042,0.045,0.913,post
Vladimir Vysotsky,Russia,Я Не Люблю (I Do Not Like),1969,ru,True,-0.9695,0.108,0.206,0.687,pre
Vladimir Vysotsky,Russia,Баллада о детстве (Ballad of Childhood),,ru,True,0.9752,0.119,0.092,0.789,post
Vladimir Vysotsky,Russia,Охота на волков (Hunting Wolves),1968,ru,True,0.9675,0.145,0.104,0.751,pre
Vladimir Vysotsky,Russia,Вершина (Peak),1966,ru,True,0.9958,0.218,0.127,0.655,pre
Vladimir Vysotsky,Russia,"Товарищ Сталин, вы большой учёный (TSVBU)",1977,ru,True,-0.5749,0.074,0.083,0.843,pre
Vladimir Vysotsky,Russia,Девушка из Нагасаки (Girl From Nagasaki),,ru,True,0.9652,0.146,0.044,0.81,post
Vladimir Vysotsky,Russia,Дом хрустальный (Crystal House),,ru,True,0.9276,0.129,0.052,0.818,post
Vladimir Vysotsky,Russia,Он не вернулся из боя (He Didn’t Return From the Battle),1969,ru,True,-0.9862,0.033,0.164,0.803,pre
Vladimir Vysotsky,Russia,Ноль семь (Zero seven),,ru,True,0.9592,0.15,0.051,0.799,post
Vladimir Vysotsky,Russia,Баллада о борьбе (Ballad About Struggle),1975,ru,True,-0.9909,0.128,0.198,0.674,pre
Vladimir Vysotsky,Russia,Песенка о переселении душ (Song about soul migration).,,ru,True,-0.8863,0.099,0.129,0.771,post
Vladimir Vysotsky,Russia,Лекция о международном положении (LATIS),1979,ru,True,-0.9149,0.103,0.131,0.765,pre
Vladimir Vysotsky,Russia,Утренняя гимнастика (Morning Exercises),1978,ru,True,0.7128,0.118,0.092,0.79,pre
Vladimir Vysotsky,Russia,Солдаты группы «Центр» (Army Group Centre soldiers),1965,ru,True,0.9825,0.155,0.019,0.826,pre
Vladimir Vysotsky,Russia,"Одна научная загадка, или почему аборигены съели Кука. (One scientific mystery or why did the aborigines eat Cook.)",,ru,True,0.8943,0.121,0.089,0.789,post
Vladimir Vysotsky,Russia,Парус (Sail),1967,ru,True,-0.8257,0.024,0.105,0.871,pre
Vladimir Vysotsky,Russia,Кривая да Нелёгкая (Curve and Not-easy),1976,ru,True,-0.9919,0.097,0.153,0.75,pre
Zemfira,Russia,Dokazano (Доказано),,ru,True,0.4304,0.077,0.069,0.854,post
Oxxxymiron,Russia,Город под подошвой (City Under the Sole),2015,ru,True,-0.8241,0.077,0.087,0.836,pre
Oxxxymiron,Russia,«Где нас нет» (”On the Other Side”),2015,ru,True,0.9521,0.106,0.084,0.81,pre
Oxxxymiron,Russia,THE STORY OF ALISHER,2022,ru,True,-0.9974,0.097,0.183,0.72,post
Oxxxymiron,Russia,КТО УБИЛ МАРКА? (WHO KILLED MARK?),2021,ru,True,-0.9957,0.068,0.142,0.79,pre
Oxxxymiron,Russia,Переплетено (Interlaced),2015,ru,True,-0.9971,0.048,0.142,0.81,pre
Oxxxymiron,Russia,До зимы (Until Winter),2013,ru,True,-0.933,0.139,0.153,0.707,pre
Oxxxymiron,Russia,Хоп-механика (Hop Mechanics),2021,ru,True,-0.993,0.09,0.163,0.747,pre
Oxxxymiron,Russia,ОЙДА (OIDA),2022,ru,True,-0.7361,0.086,0.105,0.808,post
Oxxxymiron,Russia,В книге всё было по-другому (4 раунд 17ib) (The Book Had It Different),2020,ru,True,0.9923,0.145,0.092,0.764,pre
Oxxxymiron,Russia,Красота и Уродство (Beauty & Ugliness),2021,ru,True,-0.9926,0.149,0.23,0.62,pre
Oxxxymiron,Russia,Неваляшка (Tumbler Toy),2012,ru,True,0.6382,0.101,0.097,0.802,pre
Oxxxymiron,Russia,Тентакли (Tentacles),2011,ru,True,-0.9859,0.066,0.107,0.826,pre
Oxxxymiron,Russia,Башня из слоновой кости (Ivory Tower),2015,ru,True,-0.989,0.115,0.157,0.728,pre
Oxxxymiron,Russia,ОРГАНИЗАЦИЯ (ORGANIZATION),2021,ru,True,-0.9761,0.04,0.097,0.862,pre
Oxxxymiron,Russia,Нон-фикшн (Non-Fiction),2021,ru,True,-0.9918,0.091,0.141,0.768,pre
Oxxxymiron,Russia,Грязь (Dirt),2021,ru,True,0.9935,0.172,0.106,0.722,pre
Oxxxymiron,Russia,Песенка Гремлина (Gremlin’s Song),2012,ru,True,-0.9691,0.115,0.135,0.75,pre
Oxxxymiron,Russia,Восточный Мордор (East Mordor),2011,ru,True,0.936,0.109,0.081,0.81,pre
Oxxxymiron,Russia,Агент (Agent),2021,ru,True,0.9482,0.103,0.078,0.82,pre
Oxxxymiron,Russia,Девочка Пиздец (Fucked Up Girl),2015,ru,True,0.9984,0.255,0.1,0.645,pre
Noize MC,Russia,Вселенная бесконечна? (Is the Universe Infinite?),2012,ru,True,-0.9921,0.095,0.171,0.734,pre
Noize MC,Russia,Всё как у людей (Everything is Like People’s),2019,ru,True,0.9673,0.107,0.063,0.83,pre
Noize MC,Russia,Выдыхай (Exhale),2009,ru,True,0.9841,0.123,0.062,0.814,pre
Noize MC,Russia,Моё море (My Sea),2009,ru,True,-0.8553,0.108,0.123,0.769,pre
Noize MC,Russia,Иордан (Jordan),2015,ru,True,0.9595,0.122,0.081,0.797,pre
Noize MC,Russia,Грабли (Rake),2016,ru,True,0.883,0.104,0.077,0.819,pre
Noize MC,Russia,Чайлдфри (Childfree),2016,ru,True,-0.9978,0.055,0.166,0.779,pre
Noize MC,Russia,В темноте (In Darkness),2018,ru,True,0.9323,0.09,0.081,0.829,pre
Noize MC,Russia,Вояджер-1 (Voyager 1),2020,ru,True,0.976,0.108,0.057,0.836,pre
Noize MC,Russia,Из окна (From the window),2010,ru,True,0.987,0.119,0.062,0.819,pre
Noize MC,Russia,Светлая полоса (Light Stripe),2024,ru,True,-0.6772,0.13,0.127,0.744,post
Noize MC,Russia,Yes Future!,2012,ru,True,0.8447,0.151,0.128,0.721,pre
Noize MC,Russia,Любимый цвет (Favourite color),2016,ru,True,0.9976,0.211,0.059,0.729,pre
Noize MC,Russia,"Детка, послушай (Babe, Listen)",2018,ru,True,0.9649,0.138,0.11,0.753,pre
Noize MC,Russia,На Марсе классно (It’s Cool on Mars),2010,ru,True,0.7195,0.168,0.159,0.673,pre
Noize MC,Russia,В темноте (Brodsky Version) (In Darkness),2018,ru,True,0.9944,0.144,0.08,0.777,pre
Noize MC,Russia,Ты не считаешь (You Don’t Count),2010,ru,True,-0.9948,0.114,0.17,0.716,pre
Noize MC,Russia,Страна дождей (Country Of Rain),2022,ru,True,-0.9834,0.08,0.133,0.786,post
Noize MC,Russia,Устрой дестрой (Make Destroy),2010,ru,True,-0.999,0.086,0.27,0.643,pre
Noize MC,Russia,Жвачка (Chewing Gum),2013,ru,True,-0.9915,0.077,0.179,0.744,pre
Pussy Riot,Russia,Punk Prayer (English Translation),,en,False,-0.9298,0.173,0.247,0.58,post
Pussy Riot,Russia,Make America Great Again,2016,en,False,-0.9111,0.143,0.176,0.681,pre
Pussy Riot,Russia,Bad Girls,,en,False,-0.9956,0.156,0.226,0.617,post
Pussy Riot,Russia,Straight Outta Vagina,2016,en,False,0.9736,0.131,0.098,0.771,pre
Pussy Riot,Russia,HATEFUCK,2022,en,False,-0.9985,0.037,0.228,0.735,post
Pussy Riot,Russia,Police State,2017,en,False,0.9991,0.365,0.095,0.54,pre
Pussy Riot,Russia,SEXIST,2021,ru,True,-0.9982,0.115,0.266,0.619,pre
