name,wikidata_id,origin_country,birth_place,current_residence,wiki_url
Anatole Fistoulari,Q487710,Ukraine,Kyiv,United Kingdom,https://en.wikipedia.org/wiki/Anatole_Fistoulari
Mark Taimanov,Q348037,Ukraine,Kharkiv,Russia,https://en.wikipedia.org/wiki/Mark_Taimanov
Andrzej Kurylewicz,Q442222,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Andrzej_Kurylewicz
Itzikl Krantweiss,Q105805121,Ukraine,Podilsk,United States,https://en.wikipedia.org/wiki/Itzikl_Kramtweiss
Wojciech Kilar,Q319777,Ukraine,Lviv,Darmstadt,https://en.wikipedia.org/wiki/Wojciech_Kilar
Viktoriya Yermolyeva,Q441126,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Viktoriya_Yermolyeva
Karol Mikuli,Q549666,Ukraine,Chernivtsi,Cisleithania,https://en.wikipedia.org/wiki/Karol_Mikuli
Gabriela Moyseowicz,Q509720,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Gabriela_Moyseowicz
Heinrich Neuhaus,Q506613,Ukraine,Kropyvnytskyi,Russian Empire,https://en.wikipedia.org/wiki/Heinrich_Neuhaus
Mischa Levitzki,Q506276,Ukraine,Kremenchuk,United States,https://en.wikipedia.org/wiki/Mischa_Levitzki
Igor Markevitch,Q503355,Ukraine,Kyiv,Moscow,https://en.wikipedia.org/wiki/Igor_Markevitch
Vladimir Shainsky,Q674048,Ukraine,Kyiv,Israel,https://en.wikipedia.org/wiki/Vladimir_Shainsky
VovaZIL’Vova,Q1978518,Ukraine,Lviv,Ukraine,https://en.wikipedia.org/wiki/VovaZiL%CA%B9vova
Oleg Maisenberg,Q685169,Ukraine,Odesa,Austria,https://en.wikipedia.org/wiki/Oleg_Maisenberg
Potap,Q1879459,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Potap
Valentyn Sylvestrov,Q706765,Ukraine,Kyiv,Berlin,https://en.wikipedia.org/wiki/Valentyn_Silvestrov
Art Hodes,Q705580,Ukraine,Mykolaiv,United States,https://en.wikipedia.org/wiki/Art_Hodes
David Oistrakh,Q47120,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/David_Oistrakh
Benno Moiseiwitsch,Q817970,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Benno_Moiseiwitsch
Stefan Askenase,Q588354,Ukraine,Lviv,Belgium,https://en.wikipedia.org/wiki/Stefan_Askenase
Sergei Bortkiewicz,Q742149,Ukraine,Kharkiv,Austria,https://en.wikipedia.org/wiki/Sergei_Bortkiewicz
Shura Cherkassky,Q713428,Ukraine,Odesa,United States,https://en.wikipedia.org/wiki/Shura_Cherkassky
Menachem Kipnis,Q11777340,Ukraine,Ushomir,Poland,https://en.wikipedia.org/wiki/Menachem_Kipnis
Mikhail Raukhverger,Q462037,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Mikhail_Raukhverger
Els Aarne,Q453545,Ukraine,Makiivka,Estonia,https://en.wikipedia.org/wiki/Els_Aarne
Oleh Suk,Q504509,Ukraine,Ternopil,Ukraine,https://en.wikipedia.org/wiki/Oleh_Suk
Roman Palester,Q460721,Ukraine,Sniatyn,Poland,https://en.wikipedia.org/wiki/Roman_Palester
Yan Frenkel,Q771374,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Yan_Frenkel
Mieczysław Horszowski,Q918339,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Mieczys%C5%82aw_Horszowski
Misha Mengelberg,Q1264766,Ukraine,Kyiv,Kingdom of the Netherlands,https://en.wikipedia.org/wiki/Misha_Mengelberg
Bronisław von Poźniak,Q927536,Ukraine,Lviv,Wrocław,https://en.wikipedia.org/wiki/Bronis%C5%82aw_von_Po%C5%BAniak
Volodymyr Pryjma,Q2042224,Ukraine,Stradch,Stradch,https://en.wikipedia.org/wiki/Volodymyr_Pryjma
David Nowakowsky,Q5238099,Ukraine,Malyn,Odesa,https://en.wikipedia.org/wiki/David_Nowakowsky
Eugene Hütz,Q535444,Ukraine,Boyarka,Ukraine,https://en.wikipedia.org/wiki/Eugene_H%C3%BCtz
Alexander Mosolov,Q918640,Ukraine,Kyiv,Moscow,https://en.wikipedia.org/wiki/Alexander_Mosolov
Lee Altus,Q361721,Ukraine,Odesa,United States,https://en.wikipedia.org/wiki/Lee_Altus
Alexander Uninsky,Q931199,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Alexander_Uninsky
Mordechai Hershman,Q2903892,Ukraine,Chernihiv,United States,https://en.wikipedia.org/wiki/Mordechai_Hershman
Vladimir Mikhailovich Yurovsky,Q982740,Ukraine,Tarashcha,Russian Empire,https://en.wikipedia.org/wiki/Vladimir_Yurovsky
Vitalij Kuprij,Q846111,Ukraine,Volodarka,Ukraine,https://en.wikipedia.org/wiki/Vitalij_Kuprij
Yakov Zak,Q1369531,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Yakov_Zak
Maxim Rysanov,Q4402042,Ukraine,Kramatorsk,Greater London,https://en.wikipedia.org/wiki/Maxim_Rysanov
Bolesław Woytowicz,Q891327,Ukraine,Dunaivtsi,Poland,https://en.wikipedia.org/wiki/Boles%C5%82aw_Woytowicz
GeeGun,Q4160262,Ukraine,Odesa,Russia,https://en.wikipedia.org/wiki/GeeGun
Felix Blumenfeld,Q1349550,Ukraine,Q12111027,Russian Empire,https://en.wikipedia.org/wiki/Felix_Blumenfeld
Francesco Pollini,Q1351579,Ukraine,Lubiana,Austrian Empire,https://en.wikipedia.org/wiki/Francesco_Pollini
Mikhail Alperin,Q1377150,Ukraine,Kamianets-Podilskyi,Norway,https://en.wikipedia.org/wiki/Mikhail_Alperin
Maria Grinberg,Q1029399,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Maria_Grinberg
Dimal,Q4161649,Ukraine,Sevastopol,Ukraine,https://en.wikipedia.org/wiki/Dimal_(rapper)
Alexander Tsfasman,Q1523426,Ukraine,Zaporizhzhia,Russian Empire,https://en.wikipedia.org/wiki/Alexander_Tsfasman
Juliusz Zarębski,Q1245120,Ukraine,Zhytomyr,Poland,https://en.wikipedia.org/wiki/Juliusz_Zar%C4%99bski
Leo Ornstein,Q1558656,Ukraine,Kremenchuk,United States,https://en.wikipedia.org/wiki/Leo_Ornstein
Thomas de Hartmann,Q1382528,Ukraine,Choruživka,Soviet Union,https://en.wikipedia.org/wiki/Thomas_de_Hartmann
Tadeusz Szeligowski,Q964782,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Tadeusz_Szeligowski
Aleksander Michałowski,Q1220637,Ukraine,Kamianets-Podilskyi,Poland,https://en.wikipedia.org/wiki/Aleksander_Micha%C5%82owski
Mela Tenenbaum,Q18098624,Ukraine,Ukraine,United States,https://en.wikipedia.org/wiki/Mela_Tenenbaum
Leo Sirota,Q1037441,Ukraine,Kamianets-Podilskyi,Kyiv,https://en.wikipedia.org/wiki/Leo_Sirota
Roza Tamarkina,Q949673,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Rosa_Tamarkina
Igor Dotsenko,Q4167376,Ukraine,Iziaslav,Russia,https://en.wikipedia.org/wiki/Igor_Dotsenko
Yuri Kasparyan,Q1068795,Ukraine,Simferopol,Saint Petersburg,https://en.wikipedia.org/wiki/Yuri_Kasparyan
Ignacy Feliks Dobrzyński,Q1622085,Ukraine,Romaniv,Poland,https://en.wikipedia.org/wiki/Ignacy_Feliks_Dobrzy%C5%84ski
Julie von Webenau,Q1712216,Ukraine,Lviv,Austrian Empire,https://en.wikipedia.org/wiki/Julie_von_Webenau
Jadwiga Sarnecka,Q1678208,Ukraine,Volhynia,Poland,https://en.wikipedia.org/wiki/Jadwiga_Sarnecka
Pavel Gintov,Q1646556,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Pavlo_Gintov
Vsevolod Zaderatsky,Q1639391,Ukraine,Rivne,Russian Empire,https://en.wikipedia.org/wiki/Vsevolod_Zaderatsky
Konstantin Lifschitz,Q1782725,Ukraine,Kharkiv,Russia,https://en.wikipedia.org/wiki/Konstantin_Lifschitz
Pyotr Todorovsky,Q1890642,Ukraine,Bobrynets,Russia,https://en.wikipedia.org/wiki/Pyotr_Todorovsky
Fedir Yakymenko,Q2000816,Ukraine,Pisky,Ukrainian People's Republic,https://en.wikipedia.org/wiki/Fedir_Yakymenko
Alexander Galich,Q2459284,Ukraine,Dnipro,Soviet Union,https://en.wikipedia.org/wiki/Alexander_Galich_(writer)
Józef Turczyński,Q2089975,Ukraine,Zhytomyr,Poland,https://en.wikipedia.org/wiki/J%C3%B3zef_Turczy%C5%84ski
Yarmak,Q16054135,Ukraine,Boryspil,Ukraine,https://en.wikipedia.org/wiki/Oleksandr_Yarmak
Samuil Feinberg,Q1971227,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Samuil_Feinberg
Venya Drkin,Q1959324,Ukraine,Dovzhanske,Russia,https://en.wikipedia.org/wiki/Venya_D%27rkin
Marcelle de Manziarly,Q1893286,Ukraine,Kharkiv,France,https://en.wikipedia.org/wiki/Marcelle_de_Manziarly
Jan Kleczyński,Q2080097,Ukraine,Ivanychi,Congress Poland,https://en.wikipedia.org/wiki/Jan_Kleczy%C5%84ski_Sr.
Abram Lufer,Q2062937,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Abram_Lufer
Yuri Levitin,Q1974337,Ukraine,Poltava,Soviet Union,https://en.wikipedia.org/wiki/Yuri_Levitin
Nikita Dzhigurda,Q2026869,Ukraine,Kyiv,Russia,https://en.wikipedia.org/wiki/Nikita_Dzhigurda
Alexander Gavrylyuk,Q2082375,Ukraine,Kharkiv,Australia,https://en.wikipedia.org/wiki/Alexander_Gavrylyuk
Naum Shtarkman,Q2389887,Ukraine,Zhytomyr,Russia,https://en.wikipedia.org/wiki/Naum_Shtarkman
Arkady Filippenko,Q2584747,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Arkady_Filippenko
Boleslav Yavorsky,Q2471676,Ukraine,Kharkiv,Russian Empire,https://en.wikipedia.org/wiki/Boleslav_Yavorsky
Leonid Nikolayev,Q2023778,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Leonid_Nikolayev_(pianist)
Verdina Shlonsky,Q2026038,Ukraine,Kremenchuk,Israel,https://en.wikipedia.org/wiki/Verdina_Shlonsky
Vitaly Samoshko,Q2028023,Ukraine,Kharkiv,Ukraine,https://en.wikipedia.org/wiki/Vitaly_Samoshko
Alexander Tsekalo,Q1980399,Ukraine,Kyiv,Moscow,https://en.wikipedia.org/wiki/Aleksandr_Tsekalo
Sun Diego,Q20183816,Ukraine,Chernivtsi,Ukraine,https://en.wikipedia.org/wiki/Sun_Diego
Télémaque Lambrino,Q2463804,Ukraine,Odesa,Odesa,https://en.wikipedia.org/wiki/T%C3%A9l%C3%A9maque_Lambrino
Mikhail Voskresensky,Q1930341,Ukraine,Berdiansk,Russia,https://en.wikipedia.org/wiki/Mikhail_Voskresensky
Roman Vlad,Q2343525,Ukraine,Chernivtsi,Rome,https://en.wikipedia.org/wiki/Roman_Vlad
Daniel Kluger,Q4224237,Ukraine,Simferopol,Israel,https://en.wikipedia.org/wiki/Daniel_Kluger
Igor Krutoy,Q2631745,Ukraine,Haivoron,Russia,https://en.wikipedia.org/wiki/Igor_Krutoy
Yevhen Koshovyi,Q4236976,Ukraine,Kivsharivka,Ukraine,https://en.wikipedia.org/wiki/Yevhen_Koshovyi
Alexander Slobodyanik,Q2834037,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Alexander_Slobodyanik
Gennady Vetrov,Q4110057,Ukraine,Makiivka,Moscow,https://en.wikipedia.org/wiki/Gennady_Vetrov
Vladimir Begunov,Q4080557,Ukraine,Hvardiiske,Russia,https://en.wikipedia.org/wiki/Vladimir_Begunov
Wassily Sapellnikoff,Q2552096,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Wassily_Sapellnikoff
Rosina Lhévinne,Q2633099,Ukraine,Kyiv,United States,https://en.wikipedia.org/wiki/Rosina_Lh%C3%A9vinne
Kostya Leontovich,Q4258984,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Kostya_Leontovich
Alexander Gustav Winkler,Q2833233,Ukraine,Kharkiv,France,https://en.wikipedia.org/wiki/Alexander_Winkler_(composer)
Zhenya Belousov,Q4082848,Ukraine,Kharkiv,Russia,https://en.wikipedia.org/wiki/Zhenya_Belousov
Iryna Bilyk,Q2662849,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Iryna_Bilyk
Vladimir Yanpolsky,Q2790443,Ukraine,Cherkasy,Russian Empire,https://en.wikipedia.org/wiki/Vlad_Yanpolsky
T-Fest,Q43689915,Ukraine,Chernivtsi,Ukraine,https://en.wikipedia.org/wiki/T-Fest
Lev Barenboim,Q3831253,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Lev_Barenboim
Valery Sigalevitch,Q3553746,Ukraine,Simferopol,Russia,https://en.wikipedia.org/wiki/Valery_Sigalevitch
Simon Osiashvili,Q4337687,Ukraine,Lviv,Russia,https://en.wikipedia.org/wiki/Simon_Osiashvili
Roman Miroshnichenko,Q4296268,Ukraine,Kamyanske,Russia,https://en.wikipedia.org/wiki/Roman_Miroshnichenko
Irina Zaritskaya,Q3389363,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Irina_Zaritskaya
Beliana,Q2894415,Ukraine,Kyiv,France,https://en.wikipedia.org/wiki/Beliana
Alexander Romanovsky,Q3610796,Ukraine,Kamyanske,Italy,https://en.wikipedia.org/wiki/Alexander_Romanovsky_(pianist)
Rodion Azarkhin,Q4058176,Ukraine,Kharkiv,Russia,https://en.wikipedia.org/wiki/Rodion_Azarkhin
Serhiy Salov,Q3479776,Ukraine,Donetsk,Canada,https://en.wikipedia.org/wiki/Serhiy_Salov
Jakob Gimpel,Q2896463,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Jakob_Gimpel
Carl Frühling,Q2896837,Ukraine,Lviv,Austria,https://en.wikipedia.org/wiki/Carl_Fr%C3%BChling
Youli Galperine,Q3572814,Ukraine,Kyiv,France,https://en.wikipedia.org/wiki/Youli_Galperine
Konstantin Eiges,Q3198766,Ukraine,Bohodukhiv,Russian Empire,https://en.wikipedia.org/wiki/Konstantin_Eiges
Shmuel Fershko,Q2892554,Ukraine,Lutsk,Israel,https://en.wikipedia.org/wiki/Shmuel_Fershko
Dmitry Paperno,Q4344654,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Dmitry_Paperno
Serhii Sternenko,Q47489230,Ukraine,Sadove,Ukraine,https://en.wikipedia.org/wiki/Serhii_Sternenko
Vladyslav Zaremba,Q4187173,Ukraine,Dunaivtsi,Russian Empire,https://en.wikipedia.org/wiki/Vladyslav_Zaremba
Andriy Bondarenko,Q4093179,Ukraine,Brovary,Ukraine,https://en.wikipedia.org/wiki/Andriy_Bondarenko
Mayor Brenner,Q4096299,Ukraine,Dnipro,Soviet Union,https://en.wikipedia.org/wiki/Mayor_Brenner
Aleksander Zarzycki,Q4187449,Ukraine,Lviv,Austrian Empire,https://en.wikipedia.org/wiki/Aleksander_Zarzycki
V. A. Natanson,Q4314153,Ukraine,Huliaipole,Soviet Union,https://en.wikipedia.org/wiki/Vladimir_Natanson
Boris Berlin,Q4084974,Ukraine,Kharkiv,Canada,https://en.wikipedia.org/wiki/Boris_Berlin
Samuel Pokrass,Q4369153,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Samuel_Pokrass
Alina Pash,Q55108431,Ukraine,Bushtyno,Ukraine,https://en.wikipedia.org/wiki/Alina_Pash
Ernst Jedliczka,Q4174050,Ukraine,Poltava,Germany,https://en.wikipedia.org/wiki/Ernst_Jedliczka
Pinchas Minkowski,Q20502012,Ukraine,Bila Tserkva,Austria,https://en.wikipedia.org/wiki/Pinhas_Minkowsky
Anatoly Dneprov,Q4163123,Ukraine,Dnipro,Russia,https://en.wikipedia.org/wiki/Anatoly_Dneprov_(singer)
Kostiantyn Dankevych,Q4154930,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Kostiantyn_Dankevych
Alyona Alyona,Q59358454,Ukraine,Kapitanivka,Baryshivska Hromada,https://en.wikipedia.org/wiki/Alyona_Alyona
Elmar Gasanov,Q4134050,Ukraine,Sevastopol,Russia,https://en.wikipedia.org/wiki/Elmar_Gasanov
Oleg Karavaychuk,Q4213623,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Oleg_Karavaychuk
Ania Dorfmann,Q4167122,Ukraine,Odesa,United States,https://en.wikipedia.org/wiki/Ania_Dorfmann
Ignaz Tiegerman,Q4162238,Ukraine,Drohobych,Poland,https://en.wikipedia.org/wiki/Ignace_Tiegerman
Sascha Gorodnitzki,Q4145277,Ukraine,Kyiv,United States,https://en.wikipedia.org/wiki/Sascha_Gorodnitzki
Knjaz Varggoth,Q6422667,Ukraine,Kharkiv,Ukraine,https://en.wikipedia.org/wiki/Knjaz_Varggoth
Sergey Tarnovsky,Q4452079,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Tarnowsky
Mikhail Skorulskyi,Q4422402,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Mykhailo_Skorulskyi
Yasha Spivakovsky,Q4431188,Ukraine,Smila,Russian Empire,https://en.wikipedia.org/wiki/Jascha_Spivakovsky
Mykola Suk,Q4445674,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Mykola_Suk
Konstantin Listov,Q4263449,Ukraine,Odesa,Soviet Union,https://en.wikipedia.org/wiki/Konstantin_Listov
Evgeny Mogilevsky,Q4299117,Ukraine,Odesa,Russia,https://en.wikipedia.org/wiki/Evgeny_Mogilevsky
Dmytro Shurov,Q4527981,Ukraine,Vinnytsia,Ukraine,https://en.wikipedia.org/wiki/Dmytro_Shurov
Al Goodman,Q4703890,Ukraine,Nikopol,United States,https://en.wikipedia.org/wiki/Al_Goodman
Oleksandr Shymko,Q4715455,Ukraine,Borshchiv,Ukraine,https://en.wikipedia.org/wiki/Oleksandr_Shymko
Arkady Luxemburg,Q4272163,Ukraine,Zhytomyr,Israel,https://en.wikipedia.org/wiki/Arkady_Luxemburg
Gershon Sirota,Q2915432,Ukraine,Haisyn,Haisyn,https://en.wikipedia.org/wiki/Gershon_Sirota
David Roitman,Q7192884,Ukraine,Iosipivka,New York City,https://en.wikipedia.org/wiki/David_Roitman
Leib Glantz,Q2074465,Ukraine,Kyiv,Israel,https://en.wikipedia.org/wiki/Leib_Glantz
Yossele Rosenblatt,Q1708769,Ukraine,Bila Tserkva,United States,https://en.wikipedia.org/wiki/Yossele_Rosenblatt
Sidor Belarsky,Q2091423,Ukraine,Kryzhopil,Russian Empire,https://en.wikipedia.org/wiki/Sidor_Belarsky
Abraham Firkovich,Q2390259,Ukraine,Lutsk,Polish–Lithuanian Commonwealth,https://en.wikipedia.org/wiki/Abraham_Firkovich
Nándor Szenkár,Q14633045,Ukraine,Kamianets-Podilskyi,Budapest,https://en.wikipedia.org/wiki/N%C3%A1ndor_Szenk%C3%A1r
Pierre Pinchik,Q3659826,Ukraine,Novozhivotiv,United States,https://en.wikipedia.org/wiki/Pierre_Pinchik
Israel Alter,Q15668839,Ukraine,Lviv,Mitte,https://en.wikipedia.org/wiki/Israel_Alter
Israel Schorr,Q2919542,Ukraine,Khyriv,Khyriv,https://en.wikipedia.org/wiki/Israel_Schorr
Anna Kravtchenko,Q4767181,Ukraine,Kharkiv,Ukraine,https://en.wikipedia.org/wiki/Anna_Kravtchenko
Mordecai Strelisker,Q111462123,Ukraine,Brody,Brody,https://en.wikipedia.org/wiki/Mordecai_Strelisker
Edith Vogel,Q5338690,Ukraine,Chernivtsi,United Kingdom,https://en.wikipedia.org/wiki/Edith_Vogel
Meyer Kanewsky,Q105664308,Ukraine,Zolotonosha,Russian Empire,https://en.wikipedia.org/wiki/Meyer_Kanewsky
Ihor Shamo,Q4519883,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Ihor_Shamo
Ihor Didenchuk,Q112030640,Ukraine,Lutsk,Ukraine,https://en.wikipedia.org/wiki/Ihor_Didenchuk
Natalya Pasichnyk,Q4989450,Ukraine,Rivne,Sweden,https://en.wikipedia.org/wiki/Natalya_Pasichnyk
Vladimir Denissenkov,Q4015807,Ukraine,Chernivtsi,Italy,https://en.wikipedia.org/wiki/Vladimir_Denissenkov
Jan Tabachnyk,Q4449226,Ukraine,Chernivtsi,Soviet Union,https://en.wikipedia.org/wiki/Jan_Tabachnyk
Ethella Chupryk,Q5403260,Ukraine,Vynohradiv,Ukraine,https://en.wikipedia.org/wiki/Ethella_Chupryk
Daniel Sternberg,Q5218841,Ukraine,Lviv,United States,https://en.wikipedia.org/wiki/Daniel_Sternberg
Alexander Peskanov,Q4719830,Ukraine,Odesa,Soviet Union,https://en.wikipedia.org/wiki/Alexander_Peskanov
Joseph Schmidt,Q94513,Ukraine,Davydivka,Berlin,https://en.wikipedia.org/wiki/Joseph_Schmidt
Evgeny Ukhanov,Q5418281,Ukraine,Horlivka,Australia,https://en.wikipedia.org/wiki/Evgeny_Ukhanov
Volodymyr Komarov,Q4229273,Ukraine,Kirovohrad Oblast,Soviet Union,https://en.wikipedia.org/wiki/Volodymyr_Komarov
Nina Svetlanova,Q7038125,Ukraine,Kyiv,United States,https://en.wikipedia.org/wiki/Nina_Svetlanova
Antonii Baryshevskyi,Q5697625,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Antonii_Baryshevskyi
Nahum Nardi,Q6995111,Ukraine,Kyiv,Israel,https://en.wikipedia.org/wiki/Nahum_Nardi
Yurii Kerpatenko,Q114681828,Ukraine,Kherson,Ukraine,https://en.wikipedia.org/wiki/Yurii_Kerpatenko
Evelina De Lain,Q20155457,Ukraine,Zhovti Vody,Ukraine,https://en.wikipedia.org/wiki/Evelina_De_Lain
Skofka,Q109376259,Ukraine,Rivne,Kyiv,https://en.wikipedia.org/wiki/Skofka
Jadwiga Szajna-Lewandowska,Q6121580,Ukraine,Brody,Poland,https://en.wikipedia.org/wiki/Jadwiga_Szajna-Lewandowska
Nelly Ben-Or,Q6990227,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Nelly_Ben-Or
Andro,Q112977024,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Andro_(singer)
Jan Savitt,Q1682187,Ukraine,Shumsk,United States,https://en.wikipedia.org/wiki/Jan_Savitt
Dol Dauber,Q87319,Ukraine,Vyzhnytsia,Czechoslovakia,https://en.wikipedia.org/wiki/Dol_Dauber
Mihai Amihalachioaie,Q124526807,Ukraine,Molnytsia,Moldova,https://en.wikipedia.org/wiki/Mihai_Amih%C4%83l%C4%83chioaie
Anatoly Zatin,Q5674685,Ukraine,Uzhhorod,Mexico,https://en.wikipedia.org/wiki/Anatoly_Zatin
Paula Szalit,Q7154780,Ukraine,Brody,Cisleithania,https://en.wikipedia.org/wiki/Paula_Szalit
